date,EZU,BWX,GLD,SHV
2007-10-11,55.4992,21.7659,73.91000366210938,85.23396301269531
2007-10-12,55.7192,21.6809,74.58999633789062,85.18730163574219
2007-10-15,55.1742,21.6159,75.13999938964844,85.18730163574219
2007-10-16,54.7792,21.6259,75.12000274658203,85.23396301269531
2007-10-17,55.3842,21.7159,74.5,85.2806625366211
2007-10-18,55.5692,21.9159,76.0,85.35066986083984
2007-10-19,54.4342,22.0109,75.69999694824219,85.38169860839844
2007-10-22,54.1542,21.9059,74.5999984741211,85.35066986083984
2007-10-23,55.1842,22.0159,75.2300033569336,85.38169860839844
2007-10-24,54.9642,22.1159,75.5199966430664,85.43617248535156
2007-10-25,55.5442,22.1859,76.02999877929688,85.45955657958984
2007-10-26,56.4392,22.2709,77.69000244140625,85.45955657958984
2007-10-29,56.6092,22.3309,78.12000274658203,85.45955657958984
2007-10-30,56.4742,22.2909,77.3499984741211,85.47513580322266
2007-10-31,57.1742,22.3159,78.62000274658203,85.46731567382812
2007-11-01,55.6242,22.2659,77.93000030517578,85.53128051757812
2007-11-02,56.4042,22.4709,79.83000183105469,85.54694366455078
2007-11-05,55.7392,22.4059,79.75,85.57819366455078
2007-11-06,56.5942,22.4959,81.43000030517578,85.58599853515625
2007-11-07,55.7542,22.7409,82.23999786376953,85.64842987060547
2007-11-08,56.0042,22.8509,82.2300033569336,85.70309448242188
2007-11-09,54.7992,22.9409,82.18000030517578,85.75772094726562
2007-11-12,54.0392,22.9659,78.30000305175781,85.74993896484375
2007-11-13,55.3842,22.7559,79.12000274658203,85.71090698242188
2007-11-14,55.0692,22.8409,80.27999877929688,85.76555633544922
2007-11-15,54.1442,22.8159,77.94999694824219,85.82024383544922
2007-11-16,54.6692,22.8209,77.75,85.82803344726562
2007-11-19,53.2842,22.9309,77.23999786376953,85.88267517089844
2007-11-20,54.3242,23.0409,79.47000122070312,85.9061050415039
2007-11-21,53.3092,23.1859,79.36000061035156,85.92172241210938
2007-11-23,54.4692,23.1559,81.25,85.93733978271484
2007-11-26,53.3042,23.3009,81.30000305175781,85.9686050415039
2007-11-27,54.0292,23.1409,80.0999984741211,85.94515991210938
2007-11-28,55.9092,22.9209,79.56999969482422,85.95294952392578
2007-11-29,55.3192,22.9509,78.27999877929688,85.97640228271484
2007-11-30,55.4142,22.7459,77.31999969482422,85.98418426513672
2007-12-03,55.2442,22.8259,78.27999877929688,86.00141143798828
2007-12-04,55.0742,22.9509,79.4000015258789,86.0249252319336
2007-12-05,55.5192,22.6759,78.62999725341797,86.0249252319336
2007-12-06,56.1792,22.6309,79.37000274658203,86.01715850830078
2007-12-07,56.1942,22.5359,78.5999984741211,86.00924682617188
2007-12-10,56.9592,22.5509,80.0,86.04058837890625
2007-12-11,55.2292,22.7109,78.83999633789062,86.12672424316406
2007-12-12,56.5392,22.5509,80.48999786376953,86.10323333740234
2007-12-13,55.5242,22.4009,78.5,86.10323333740234
2007-12-14,53.9992,22.0409,78.5199966430664,86.08758544921875
2007-12-17,52.7542,22.0009,78.12999725341797,86.06407165527344
2007-12-18,53.4892,22.0409,79.25,86.05622100830078
2007-12-19,52.9792,22.0959,79.23999786376953,86.14240264892578
2007-12-20,51.7442,22.0509,78.66999816894531,86.1580810546875
2007-12-21,52.8042,22.0159,80.0999984741211,86.11105346679688
2007-12-24,53.2392,22.0659,80.13999938964844,86.11105346679688
2007-12-26,53.4392,22.1909,81.5199966430664,86.13452911376953
2007-12-27,53.3192,22.3009,81.55999755859375,86.16683959960938
2007-12-28,54.0292,22.4509,83.0,86.17472839355469
2007-12-31,53.3892,22.6409,82.45999908447266,86.15897369384766
2008-01-02,53.1492,22.8059,84.86000061035156,86.24542999267578
2008-01-03,53.2392,22.8859,85.56999969482422,86.20608520507812
2008-01-04,51.9742,22.9509,85.12999725341797,86.26900482177734
2008-01-07,52.1492,22.8909,84.7699966430664,86.2218017578125
2008-01-08,51.5942,22.8609,86.77999877929688,86.27688598632812
2008-01-09,51.9192,22.7609,86.55000305175781,86.30833435058594
2008-01-10,51.9942,22.9909,88.25,86.33186340332031
2008-01-11,51.0192,22.9809,88.58000183105469,86.37906646728516
2008-01-14,52.0592,23.2109,89.54000091552734,86.38695526123047
2008-01-15,50.1592,23.1959,87.98999786376953,86.36333465576172
2008-01-16,48.9992,23.0809,86.69999694824219,86.38695526123047
2008-01-17,48.0192,23.0809,86.5,86.41050720214844
2008-01-18,47.8392,23.1009,87.41999816894531,86.51266479492188
2008-01-22,45.7692,22.9259,88.16999816894531,86.60700988769531
2008-01-23,44.7642,23.0459,87.88999938964844,86.6148681640625
2008-01-24,46.7292,23.1009,90.08000183105467,86.6306381225586
2008-01-25,45.4292,23.0809,90.3000030517578,86.67776489257812
2008-01-28,46.6992,23.1359,91.75,86.63845825195312
2008-01-29,47.0292,23.1259,91.1500015258789,86.69346618652344
2008-01-30,46.9492,23.2759,92.05999755859376,86.74851989746094
2008-01-31,47.2292,23.2059,91.4000015258789,86.7642593383789
2008-02-01,48.1492,23.2759,89.3499984741211,86.78791809082031
2008-02-04,47.6692,23.2359,89.0999984741211,86.75638580322266
2008-02-05,44.6292,23.0409,87.68000030517578,86.78004455566406
2008-02-06,44.8942,23.0509,88.94999694824219,86.79583740234375
2008-02-07,44.6292,22.8709,89.8499984741211,86.79583740234375
2008-02-08,44.2092,22.9259,91.0,86.79583740234375
2008-02-11,44.3842,23.0709,91.33000183105467,86.78004455566406
2008-02-12,45.6042,22.9909,89.33000183105469,86.78004455566406
2008-02-13,46.4492,22.9359,89.44000244140625,86.8351821899414
2008-02-14,45.9692,22.9359,89.70999908447266,86.85091400146484
2008-02-15,45.7942,23.0509,89.1500015258789,86.85880279541016
2008-02-19,46.4992,22.9409,91.58000183105467,86.84306335449219
2008-02-20,46.6192,22.9309,93.23999786376952,86.86676025390625
2008-02-21,46.2942,23.0859,93.25,86.89039611816406
2008-02-22,46.7992,23.2259,93.38999938964844,86.88249206542969
2008-02-25,47.5142,23.0609,92.73999786376952,86.88249206542969
2008-02-26,48.4442,23.2709,93.70999908447266,86.90615844726562
2008-02-27,48.6992,23.5109,94.77999877929688,86.92977905273438
2008-02-28,48.3292,23.7709,95.98999786376952,86.91399383544922
2008-02-29,46.7892,23.9859,96.18000030517578,86.92977905273438
2008-03-03,46.8792,23.9759,97.23999786376952,86.95108032226562
2008-03-04,46.0892,23.9359,95.18000030517578,86.96694946289062
2008-03-05,46.7742,23.9859,97.72000122070312,87.02220916748047
2008-03-06,46.2442,24.1609,96.5,87.06963348388672
2008-03-07,45.6842,24.1359,96.08999633789062,87.03799438476562
2008-03-10,45.1592,24.1859,95.87000274658205,87.0932846069336
2008-03-11,47.0092,24.0509,95.98999786376952,87.03799438476562
2008-03-12,46.9892,24.5209,97.01000213623048,87.10123443603516
2008-03-13,47.2092,24.6009,98.33999633789062,87.10910034179688
2008-03-14,46.1392,25.1359,98.70999908447266,87.1406478881836
2008-03-17,45.5142,24.9109,99.16999816894533,87.21967315673828
2008-03-18,46.9042,24.8609,96.5,87.23551177978516
2008-03-19,44.9742,24.6409,93.04000091552734,87.27496337890625
2008-03-20,45.4292,24.4159,89.91000366210938,87.29080963134766
2008-03-24,46.5192,23.9659,90.0999984741211,87.14862060546875
2008-03-25,47.4992,24.5559,92.7300033569336,87.1406478881836
2008-03-26,47.8192,24.7459,93.8000030517578,87.15650939941406
2008-03-27,47.6592,24.7059,93.45999908447266,87.19599914550781
2008-03-28,47.7142,24.7359,91.87999725341795,87.21178436279297
2008-03-31,48.1292,24.7209,90.41000366210938,87.20387268066406
2008-04-01,49.7992,24.3559,86.86000061035156,87.19994354248047
2008-04-02,49.8442,24.3859,89.2699966430664,87.18407440185547
2008-04-03,49.9292,24.3959,89.41999816894531,87.19994354248047
2008-04-04,50.0942,24.5309,90.25,87.20780944824219
2008-04-07,50.4142,24.4359,91.16999816894533,87.18407440185547
2008-04-08,50.1642,24.4159,90.3499984741211,87.21578979492188
2008-04-09,49.8642,24.4909,92.29000091552734,87.2315673828125
2008-04-10,49.6592,24.4909,91.7699966430664,87.27906036376953
2008-04-11,48.8292,24.6859,91.3000030517578,87.27906036376953
2008-04-14,48.9092,24.6909,91.11000061035156,87.27906036376953
2008-04-15,49.1892,24.4909,91.66000366210938,87.23950958251953
2008-04-16,50.8092,24.6459,93.2699966430664,87.27117919921875
2008-04-17,50.0042,24.3659,92.55999755859376,87.27117919921875
2008-04-18,50.6592,24.1509,90.62000274658205,87.23950958251953
2008-04-21,50.9142,24.2959,90.25,87.24744415283203
2008-04-22,50.2842,24.4759,90.2699966430664,87.27117919921875
2008-04-23,50.4842,24.4409,89.22000122070312,87.27117919921875
2008-04-24,50.1692,24.0509,87.22000122070312,87.27117919921875
2008-04-25,50.4792,23.5709,87.2699966430664,87.22366333007812
2008-04-28,50.4342,23.8059,87.69000244140625,87.2315673828125
2008-04-29,50.0892,23.7959,85.80999755859375,87.2553482055664
2008-04-30,50.2992,23.9809,86.6500015258789,87.27906036376953
2008-05-01,50.8992,23.5909,83.98999786376953,87.29969024658203
2008-05-02,50.7592,23.5609,84.58000183105469,87.2679672241211
2008-05-05,50.8492,23.7159,86.2699966430664,87.27586364746094
2008-05-06,51.2892,23.7609,86.62999725341797,87.25212097167969
2008-05-07,50.1092,23.6709,85.81999969482422,87.29969024658203
2008-05-08,50.4542,23.7559,87.23999786376953,87.30767059326172
2008-05-09,50.3392,23.9709,87.41999816894531,87.29969024658203
2008-05-12,51.0042,23.9409,86.98999786376953,87.27586364746094
2008-05-13,50.7142,23.7459,85.38999938964844,87.24421691894531
2008-05-14,50.8242,23.6309,85.19999694824219,87.24421691894531
2008-05-15,51.4442,23.4909,87.0,87.25212097167969
2008-05-16,52.2442,23.6909,89.0999984741211,87.2917709350586
2008-05-19,51.8842,23.6959,89.38999938964844,87.29969024658203
2008-05-20,51.6492,23.9609,90.9000015258789,87.29969024658203
2008-05-21,51.1092,24.0459,91.95999908447266,87.28382110595703
2008-05-22,51.5942,23.8659,90.9800033569336,87.2917709350586
2008-05-23,50.8942,24.0059,91.2300033569336,87.2917709350586
2008-05-27,50.6342,23.8109,89.36000061035156,87.29969024658203
2008-05-28,50.9792,23.6859,89.13999938964844,87.29969024658203
2008-05-29,50.5342,23.3959,86.51000213623047,87.29969024658203
2008-05-30,50.9692,23.4809,87.44999694824219,87.2917709350586
2008-06-02,49.9542,23.5109,87.95999908447266,87.32032775878906
2008-06-03,49.6642,23.3909,86.87999725341797,87.33622741699219
2008-06-04,49.2242,23.3309,86.6500015258789,87.33622741699219
2008-06-05,50.2392,23.3609,86.44999694824219,87.33622741699219
2008-06-06,48.6342,23.5909,89.05999755859375,87.34414672851562
2008-06-09,48.4142,23.2909,87.98999786376953,87.30445861816406
2008-06-10,47.7042,22.8609,85.55000305175781,87.28060150146484
2008-06-11,46.7342,22.9359,87.0199966430664,87.29655456542969
2008-06-12,46.6842,22.3759,85.5999984741211,87.29655456542969
2008-06-13,46.9642,22.5559,85.83000183105469,87.28857421875
2008-06-16,47.1992,22.6109,87.01000213623047,87.28857421875
2008-06-17,47.2192,22.7459,87.25,87.32828521728516
2008-06-18,46.6892,22.8509,88.27999877929688,87.36003112792969
2008-06-19,46.5942,22.7809,88.41999816894531,87.36795043945312
2008-06-20,45.4892,23.1209,88.94999694824219,87.35210418701172
2008-06-23,45.2342,22.9259,87.08999633789062,87.36003112792969
2008-06-24,45.0092,23.1159,87.47000122070312,87.39177703857422
2008-06-25,44.0642,23.1909,87.41999816894531,87.41563415527344
2008-06-26,42.7392,23.4859,90.61000061035156,87.43152618408203
2008-06-27,42.8192,23.5209,91.47000122070312,87.42359161376953
2008-06-30,42.7242,23.2909,91.4000015258789,87.45540618896484
2008-07-01,42.2192,23.2659,92.66000366210938,87.47523498535156
