date,EPI,EMB,GLD,SHV
2017-08-07,23.362,74.0884,119.51000213623048,89.62432861328125
2017-08-08,23.082,73.8484,119.86000061035156,89.64055633544922
2017-08-09,22.692,73.8884,121.30999755859376,89.60807037353516
2017-08-10,21.882,73.4084,122.20999908447266,89.61620330810547
2017-08-11,22.032,73.6184,122.79000091552734,89.63245391845703
2017-08-14,22.372,73.8784,121.91999816894533,89.648681640625
2017-08-15,22.312,73.9084,120.9800033569336,89.648681640625
2017-08-16,22.612,74.0084,121.87000274658205,89.66490936279297
2017-08-17,22.422,73.9084,122.48999786376952,89.65679168701172
2017-08-18,22.482,74.1984,122.3000030517578,89.67302703857422
2017-08-21,22.212,74.3084,122.76000213623048,89.67302703857422
2017-08-22,22.322,74.3484,122.20999908447266,89.65679168701172
2017-08-23,22.512,74.5984,122.66999816894533,89.67302703857422
2017-08-24,22.572,74.7184,122.29000091552734,89.67302703857422
2017-08-25,22.682,75.0284,122.73999786376952,89.6811752319336
2017-08-28,22.842,74.8484,124.69000244140624,89.6811752319336
2017-08-29,22.542,74.9184,124.41999816894533,89.6893081665039
2017-08-30,22.642,75.2984,124.36000061035156,89.69741821289062
2017-08-31,22.792,75.7384,125.81999969482422,89.6811752319336
2017-09-01,23.082,75.6295,126.05999755859376,89.66817474365234
2017-09-05,22.792,75.9995,127.45999908447266,89.70067596435547
2017-09-06,22.902,75.7995,126.80999755859376,89.66817474365234
2017-09-07,22.942,76.2495,128.1300048828125,89.70881652832031
2017-09-08,22.782,76.3595,127.97000122070312,89.70067596435547
2017-09-11,23.082,76.1595,126.19000244140624,89.71693420410156
2017-09-12,23.212,75.9195,126.55999755859376,89.69258117675781
2017-09-13,23.052,75.9195,125.61000061035156,89.69258117675781
2017-09-14,23.072,75.9995,126.16000366210938,89.70067596435547
2017-09-15,23.212,76.1595,125.52999877929688,89.70881652832031
2017-09-18,23.232,75.9295,124.36000061035156,89.68445587158203
2017-09-19,23.282,75.7595,124.62000274658205,89.68445587158203
2017-09-20,22.832,75.0095,123.62000274658205,89.70881652832031
2017-09-21,22.642,75.3395,122.68000030517578,89.70881652832031
2017-09-22,22.162,75.5395,123.23999786376952,89.71693420410156
2017-09-25,21.582,75.4295,124.52999877929688,89.70881652832031
2017-09-26,21.712,75.3895,123.13999938964844,89.7331771850586
2017-09-27,21.312,74.8995,121.9800033569336,89.72505950927734
2017-09-28,21.482,75.1395,122.20999908447266,89.7331771850586
2017-09-29,21.762,75.5195,121.58000183105467,89.74945831298828
2017-10-02,21.672,75.4117,120.7699966430664,89.75270080566406
2017-10-03,21.832,75.3817,120.83000183105467,89.75270080566406
2017-10-04,22.092,75.4717,121.16999816894533,89.74458312988281
2017-10-05,22.132,75.5317,120.5199966430664,89.73644256591797
2017-10-06,22.172,75.2417,121.08999633789062,89.73644256591797
2017-10-09,22.162,75.0817,122.08000183105467,89.75270080566406
2017-10-10,22.432,75.2917,122.4000015258789,89.73644256591797
2017-10-11,22.352,75.4217,122.79000091552734,89.76085662841797
2017-10-12,22.602,75.6417,122.88999938964844,89.76899719238281
2017-10-13,22.982,75.9717,123.81999969482422,89.76899719238281
2017-10-16,23.022,75.7617,122.97000122070312,89.76899719238281
2017-10-17,22.892,75.8217,122.12999725341795,89.76899719238281
2017-10-18,22.922,75.8417,121.66999816894533,89.78526306152344
2017-10-19,22.722,75.9717,122.38999938964844,89.79338836669922
2017-10-20,22.842,75.5917,121.61000061035156,89.78526306152344
2017-10-23,22.922,75.4917,121.8000030517578,89.77711486816406
2017-10-24,23.152,75.3417,121.33000183105467,89.77711486816406
2017-10-25,23.122,75.1417,121.3499984741211,89.76899719238281
2017-10-26,23.212,74.8017,120.33000183105467,89.77711486816406
2017-10-27,23.472,75.3517,120.9000015258789,89.76899719238281
2017-10-30,23.442,75.6917,121.12999725341795,89.78526306152344
2017-10-31,23.602,75.8017,120.66999816894533,89.78526306152344
2017-11-01,23.822,75.8268,121.11000061035156,89.78527069091797
2017-11-02,23.892,76.1468,121.19000244140624,89.79339599609375
2017-11-03,23.822,75.4168,120.62000274658205,89.79339599609375
2017-11-06,23.932,75.2568,121.6500015258789,89.79339599609375
2017-11-07,23.392,74.6468,121.20999908447266,89.78527069091797
2017-11-08,23.412,74.5968,121.62999725341795,89.78527069091797
2017-11-09,23.292,74.3568,122.12999725341795,89.79339599609375
2017-11-10,23.162,74.4468,121.12999725341795,89.79339599609375
2017-11-13,22.932,74.5768,121.30999755859376,89.80155944824219
2017-11-14,22.802,74.4868,121.55999755859376,89.80155944824219
2017-11-15,22.552,74.5668,121.41000366210938,89.80964660644531
2017-11-16,23.062,75.0268,121.4000015258789,89.79339599609375
2017-11-17,23.312,75.2368,122.86000061035156,89.80155944824219
2017-11-20,23.362,75.2068,121.30999755859376,89.80155944824219
2017-11-21,23.572,75.3668,121.51000213623048,89.80964660644531
2017-11-22,23.552,75.8568,122.62999725341795,89.81778717041016
2017-11-24,23.822,75.8168,122.31999969482422,89.82597351074219
2017-11-27,23.782,75.8668,122.83000183105467,89.83411407470703
2017-11-28,23.832,76.0268,122.80999755859376,89.83411407470703
2017-11-29,23.572,75.6068,122.04000091552734,89.83411407470703
2017-11-30,23.332,75.4868,121.0999984741211,89.83411407470703
2017-12-01,22.932,75.8657,121.58999633789062,89.84309387207031
2017-12-04,22.912,75.9357,121.18000030517578,89.83494567871094
2017-12-05,22.982,76.0957,120.31999969482422,89.84309387207031
2017-12-06,22.822,76.1957,120.06999969482422,89.84309387207031
2017-12-07,23.202,75.9557,118.48999786376952,89.8512191772461
2017-12-08,23.502,75.9757,118.4800033569336,89.86750030517578
2017-12-11,23.612,75.9157,118.01000213623048,89.86750030517578
2017-12-12,23.312,75.9557,118.1500015258789,89.84309387207031
2017-12-13,23.422,76.2857,119.16999816894533,89.8512191772461
2017-12-14,23.482,76.3457,118.93000030517578,89.85939025878906
2017-12-15,23.742,76.4957,119.18000030517578,89.86750030517578
2017-12-18,23.852,76.6157,119.7300033569336,89.8512191772461
2017-12-19,23.872,76.3657,119.81999969482422,89.85939025878906
2017-12-20,24.012,76.1857,120.13999938964844,89.86750030517578
2017-12-21,24.122,76.1769,120.30999755859376,89.87730407714844
2017-12-22,24.292,76.5569,120.94000244140624,89.87730407714844
2017-12-26,24.4184,76.6169,121.7699966430664,89.88545227050781
2017-12-27,24.3284,76.7269,122.2300033569336,89.87730407714844
2017-12-28,24.2784,76.7669,122.8499984741211,89.90994262695312
2017-12-29,24.4584,76.9169,123.6500015258789,89.90994262695312
2018-01-02,24.6484,77.2169,125.1500015258789,89.90177154541016
2018-01-03,24.7184,77.1669,124.81999969482422,89.90177154541016
2018-01-04,24.8684,77.4669,125.45999908447266,89.91810607910156
2018-01-05,25.2384,77.5369,125.33000183105467,89.91810607910156
2018-01-08,25.2784,77.3269,125.30999755859376,89.91810607910156
2018-01-09,25.2084,76.9669,124.7300033569336,89.91810607910156
2018-01-10,25.1284,76.6269,125.02999877929688,89.90994262695312
2018-01-11,25.4084,76.7769,125.44000244140624,89.91810607910156
2018-01-12,25.4784,76.9469,126.95999908447266,89.92622375488281
2018-01-16,24.9784,76.9569,127.16999816894533,89.93440246582031
2018-01-17,25.4884,76.9869,126.13999938964844,89.94256591796875
2018-01-18,25.1084,76.7169,125.86000061035156,89.95071411132812
2018-01-19,25.4584,76.3869,126.41999816894533,89.95071411132812
2018-01-22,25.7584,76.4069,126.6500015258789,89.95884704589844
2018-01-23,25.9784,76.6269,127.27999877929688,89.95071411132812
2018-01-24,26.0184,76.4569,128.8300018310547,89.96701049804688
2018-01-25,25.8284,76.6169,127.97000122070312,89.97518920898438
2018-01-26,26.0084,76.8369,128.07000732421875,89.98333740234375
2018-01-29,25.7884,76.2069,127.3499984741211,89.98333740234375
2018-01-30,25.4584,76.0069,126.8000030517578,89.98333740234375
2018-01-31,25.4984,76.1769,127.6500015258789,90.0240707397461
2018-02-01,25.0084,76.1267,128.07000732421875,89.9832992553711
2018-02-02,23.9184,75.2367,126.38999938964844,89.9996337890625
