date,VT,BWX,GLD,SHV
2008-06-26,25.5308,23.4859,90.61000061035156,87.43152618408203
2008-06-27,25.4508,23.5209,91.47000122070312,87.42359161376953
2008-06-30,25.4908,23.2909,91.4000015258789,87.45540618896484
2008-07-01,25.0508,23.2659,92.66000366210938,87.47523498535156
2008-07-02,24.3308,23.5009,93.16999816894533,87.48318481445312
2008-07-03,24.4608,23.3959,92.05999755859376,87.49111938476562
2008-07-07,24.3608,23.4659,91.2300033569336,87.49906921386719
2008-07-08,24.4508,23.2959,90.86000061035156,87.49906921386719
2008-07-09,23.8908,23.6059,91.5,87.5389175415039
2008-07-10,23.8108,23.5809,93.52999877929688,87.5389175415039
2008-07-11,23.6008,23.6709,95.16000366210938,87.53086853027344
2008-07-14,23.4408,23.8409,95.91000366210938,87.56275177001953
2008-07-15,22.7108,23.9659,96.16999816894533,87.59458923339844
2008-07-16,23.6708,23.8659,94.44000244140624,87.60258483886719
2008-07-17,24.2808,23.6159,94.22000122070312,87.60258483886719
2008-07-18,24.2308,23.5209,94.16999816894533,87.59458923339844
2008-07-21,24.3808,23.6909,95.12000274658205,87.61053466796875
2008-07-22,24.6508,23.5059,93.05999755859376,87.59458923339844
2008-07-23,25.0308,23.3959,90.56999969482422,87.61841583251953
2008-07-24,23.9508,23.4909,91.33000183105467,87.61841583251953
2008-07-25,24.1608,23.4509,91.69000244140624,87.62643432617188
2008-07-28,23.3908,23.6209,91.7300033569336,87.63433837890625
2008-07-29,23.8508,23.4159,90.58999633789062,87.62643432617188
2008-07-30,24.6508,23.6109,89.5199966430664,87.62643432617188
2008-07-31,24.1608,23.6209,90.08000183105467,87.6661605834961
2008-08-01,23.8808,23.5409,89.56999969482422,87.65416717529297
2008-08-04,23.1808,23.5009,88.13999938964844,87.65416717529297
2008-08-05,24.3408,23.4109,86.08000183105469,87.65416717529297
2008-08-06,24.6608,23.2109,86.63999938964844,87.66216278076172
2008-08-07,23.5508,23.2159,86.08999633789062,87.6860580444336
2008-08-08,24.1808,22.7409,84.43000030517578,87.67810821533203
2008-08-11,24.4708,22.4759,81.12999725341797,87.66216278076172
2008-08-12,23.8008,22.7159,80.5199966430664,87.67810821533203
2008-08-13,23.2708,22.6959,81.55999755859375,87.67810821533203
2008-08-14,23.4808,22.5709,79.3499984741211,87.6860580444336
2008-08-15,23.4408,22.2859,77.62999725341797,87.70205688476562
2008-08-18,22.6508,22.4859,78.80000305175781,87.67015838623047
2008-08-19,22.2508,22.5559,80.43000030517578,87.7099838256836
2008-08-20,22.6708,22.4759,80.05999755859375,87.75785064697266
2008-08-21,23.0308,22.6909,82.30000305175781,87.74186706542969
2008-08-22,23.2808,22.5509,81.08000183105469,87.74186706542969
2008-08-25,22.4108,22.6909,80.93000030517578,87.75785064697266
2008-08-26,22.6508,22.5509,81.2300033569336,87.75785064697266
2008-08-27,22.7108,22.4309,81.36000061035156,87.78170776367188
2008-08-28,23.7008,22.4909,82.18000030517578,87.77379608154297
2008-08-29,23.2708,22.3709,81.70999908447266,87.77379608154297
2008-09-02,21.9508,22.2659,79.19999694824219,87.78968811035156
2008-09-03,22.1108,22.2409,78.88999938964844,87.8056640625
2008-09-04,20.4108,22.0909,78.38999938964844,87.82162475585938
2008-09-05,20.1208,21.9409,78.9800033569336,87.8056640625
2008-09-08,21.3708,21.8709,78.86000061035156,87.78968811035156
2008-09-09,20.2408,21.9009,76.48999786376953,87.82162475585938
2008-09-10,20.6008,21.6009,74.22000122070312,87.83763122558594
2008-09-11,20.5708,21.5409,73.08000183105469,87.84556579589844
2008-09-12,21.0708,21.7559,75.55000305175781,87.86156463623047
2008-09-15,19.2208,21.9509,77.55999755859375,87.98924255371094
2008-09-16,19.9408,22.0259,76.79000091552734,88.02122497558594
2008-09-17,17.5608,21.4409,85.45999908447266,88.22077941894531
2008-09-18,19.7508,21.2759,82.80000305175781,88.1968002319336
2008-09-19,22.3608,21.8159,85.9800033569336,87.99727630615234
2008-09-22,20.6808,22.1759,89.18000030517578,87.99727630615234
2008-09-23,20.9708,22.3659,88.31999969482422,88.04518127441406
2008-09-24,19.5508,22.4359,86.70999908447266,88.05310821533203
2008-09-25,20.7908,22.6759,86.44999694824219,88.1329345703125
2008-09-26,21.2208,22.3609,86.63999938964844,88.1090316772461
2008-09-29,18.3508,21.5759,89.56999969482422,88.069091796875
2008-09-30,18.9608,21.6859,85.06999969482422,88.04518127441406
2008-10-01,18.3308,21.7009,85.97000122070312,88.1690444946289
2008-10-02,16.0508,21.7359,82.33000183105469,88.2729721069336
2008-10-03,15.7008,21.7809,82.58999633789062,88.17704772949219
2008-10-06,13.8008,21.9059,84.27999877929688,88.14509582519531
2008-10-07,12.0608,21.3459,87.2699966430664,88.20896911621094
2008-10-08,11.5008,20.3359,89.41999816894531,88.2729721069336
2008-10-09,9.8008,20.3959,89.9000015258789,88.24095916748047
2008-10-10,8.7308,19.7409,83.22000122070312,88.32088470458984
2008-10-13,13.1408,19.7509,81.98999786376953,88.00121307373047
2008-10-14,13.9308,20.2809,82.19999694824219,88.28092956542969
2008-10-15,9.3208,20.9759,83.30999755859375,88.35282135009766
2008-10-16,10.1108,20.3559,79.29000091552734,88.16106414794922
2008-10-17,9.7808,20.9009,77.20999908447266,88.16106414794922
2008-10-20,12.1508,20.8359,78.5,88.10508728027344
2008-10-21,9.9108,20.6609,76.02999877929688,88.09707641601562
