date,SPY,TLT,GLD,SHV
2005-01-03,81.1745986938,44.7385101318,43.0200004578,82.0586090088
2005-01-04,80.1827087402,44.2695960999,42.7400016785,82.0586090088
2005-01-05,79.6294021606,44.5065727234,42.6699981689,82.0586090088
2005-01-06,80.0342483521,44.5367927551,42.1500015259,82.0586090088
2005-01-07,79.9195480347,44.6376686096,41.8400001526,82.0586090088
2005-01-10,80.2974166870,44.7082328796,41.9500007629,82.0586090088
2005-01-11,79.7441024780,44.9703674316,42.2099990845,82.0586090088
2005-01-12,80.0072555542,45.0308418274,42.5999984741,82.0586090088
2005-01-13,79.3662490845,45.4644546509,42.5999984741,82.0586090088
2005-01-14,79.7845764160,45.4593811035,42.3199996948,82.0586090088
2005-01-18,80.6145324707,45.6106185913,42.3199996948,82.0586090088
2005-01-19,79.7710876465,45.7417449951,42.2599983215,82.0586090088
2005-01-20,79.2852706909,45.8324737549,42.2500000000,82.0586090088
2005-01-21,78.7994308472,45.8828964233,42.7400016785,82.0586090088
2005-01-24,78.6442337036,46.0795097351,42.7700004578,82.0586090088
2005-01-25,78.8668670654,45.6459350586,42.2400016785,82.0586090088
2005-01-26,79.1030807495,45.7316627502,42.6899986267,82.0586090088
2005-01-27,79.2380294800,45.6459350586,42.6199989319,82.0586090088
2005-01-28,79.2380294800,46.1047363281,42.6899986267,82.0586090088
2005-01-31,79.7306137085,46.2358055115,42.2200012207,82.0586090088
2005-02-01,80.2366943359,46.1624069214,42.0999984741,82.0586090088
2005-02-02,80.4796142578,46.2687187195,42.1599998474,82.0586090088
2005-02-03,80.2703933716,46.2434043884,41.6800003052,82.0586090088
2005-02-04,81.1273880005,46.8861122131,41.4700012207,82.0586090088
2005-02-07,81.0194091797,47.2352638245,41.2700004578,82.0586090088
2005-02-08,81.1138839722,47.5034942627,41.2599983215,82.0586090088
2005-02-09,80.5065917969,47.6299819946,41.3100013733,82.0586090088
2005-02-10,80.7967376709,46.9873008728,41.7500000000,82.0586090088
2005-02-11,81.4917449951,46.9569740295,42.0800018311,82.0586090088
2005-02-14,81.4310073853,47.1036949158,42.5499992371,82.0586090088
