date,adj_close
2017-08-07,74.0884
2017-08-08,73.8484
2017-08-09,73.8884
2017-08-10,73.4084
2017-08-11,73.6184
2017-08-14,73.8784
2017-08-15,73.9084
2017-08-16,74.0084
2017-08-17,73.9084
2017-08-18,74.1984
2017-08-21,74.3084
2017-08-22,74.3484
2017-08-23,74.5984
2017-08-24,74.7184
2017-08-25,75.0284
2017-08-28,74.8484
2017-08-29,74.9184
2017-08-30,75.2984
2017-08-31,75.7384
2017-09-01,75.6295
2017-09-05,75.9995
2017-09-06,75.7995
2017-09-07,76.2495
2017-09-08,76.3595
2017-09-11,76.1595
2017-09-12,75.9195
2017-09-13,75.9195
2017-09-14,75.9995
2017-09-15,76.1595
2017-09-18,75.9295
2017-09-19,75.7595
2017-09-20,75.0095
2017-09-21,75.3395
2017-09-22,75.5395
2017-09-25,75.4295
2017-09-26,75.3895
2017-09-27,74.8995
2017-09-28,75.1395
2017-09-29,75.5195
2017-10-02,75.4117
2017-10-03,75.3817
2017-10-04,75.4717
2017-10-05,75.5317
2017-10-06,75.2417
2017-10-09,75.0817
2017-10-10,75.2917
2017-10-11,75.4217
2017-10-12,75.6417
2017-10-13,75.9717
2017-10-16,75.7617
2017-10-17,75.8217
2017-10-18,75.8417
2017-10-19,75.9717
2017-10-20,75.5917
2017-10-23,75.4917
2017-10-24,75.3417
2017-10-25,75.1417
2017-10-26,74.8017
2017-10-27,75.3517
2017-10-30,75.6917
2017-10-31,75.8017
2017-11-01,75.8268
2017-11-02,76.1468
2017-11-03,75.4168
2017-11-06,75.2568
2017-11-07,74.6468
2017-11-08,74.5968
2017-11-09,74.3568
2017-11-10,74.4468
2017-11-13,74.5768
2017-11-14,74.4868
2017-11-15,74.5668
2017-11-16,75.0268
2017-11-17,75.2368
2017-11-20,75.2068
2017-11-21,75.3668
2017-11-22,75.8568
2017-11-24,75.8168
2017-11-27,75.8668
2017-11-28,76.0268
2017-11-29,75.6068
2017-11-30,75.4868
2017-12-01,75.8657
2017-12-04,75.9357
2017-12-05,76.0957
2017-12-06,76.1957
2017-12-07,75.9557
2017-12-08,75.9757
2017-12-11,75.9157
2017-12-12,75.9557
2017-12-13,76.2857
2017-12-14,76.3457
2017-12-15,76.4957
2017-12-18,76.6157
2017-12-19,76.3657
2017-12-20,76.1857
2017-12-21,76.1769
2017-12-22,76.5569
2017-12-26,76.6169
2017-12-27,76.7269
2017-12-28,76.7669
2017-12-29,76.9169
2018-01-02,77.2169
2018-01-03,77.1669
2018-01-04,77.4669
2018-01-05,77.5369
2018-01-08,77.3269
2018-01-09,76.9669
2018-01-10,76.6269
2018-01-11,76.7769
2018-01-12,76.9469
2018-01-16,76.9569
2018-01-17,76.9869
2018-01-18,76.7169
2018-01-19,76.3869
2018-01-22,76.4069
2018-01-23,76.6269
2018-01-24,76.4569
2018-01-25,76.6169
2018-01-26,76.8369
2018-01-29,76.2069
2018-01-30,76.0069
2018-01-31,76.1769
2018-02-01,76.1267
2018-02-02,75.2367
2018-02-05,74.5867
2018-02-06,74.7967
2018-02-07,74.5967
2018-02-08,73.3167
2018-02-09,72.9867
2018-02-12,73.1667
2018-02-13,72.7567
2018-02-14,72.5067
2018-02-15,73.2367
2018-02-16,73.9767
2018-02-20,73.2367
2018-02-21,72.8467
2018-02-22,72.9667
2018-02-23,73.8067
2018-02-26,74.1167
2018-02-27,73.9067
2018-02-28,73.6667
2018-03-01,73.257
2018-03-02,73.637
2018-03-05,73.467
2018-03-06,73.637
2018-03-07,73.517
2018-03-08,73.527
2018-03-09,73.747
2018-03-12,73.727
2018-03-13,73.547
2018-03-14,73.797
2018-03-15,73.707
2018-03-16,73.697
2018-03-19,73.227
2018-03-20,72.997
2018-03-21,73.337
2018-03-22,73.007
2018-03-23,72.557
2018-03-26,73.227
2018-03-27,73.397
2018-03-28,73.687
2018-03-29,74.287
2018-04-02,74.0708
2018-04-03,74.1508
2018-04-04,74.2808
2018-04-05,74.2408
2018-04-06,74.4108
2018-04-09,74.3008
2018-04-10,74.1208
2018-04-11,74.1608
2018-04-12,74.1608
2018-04-13,74.2508
2018-04-16,74.1108
2018-04-17,73.8708
2018-04-18,73.8708
2018-04-19,73.4808
2018-04-20,72.9908
2018-04-23,72.7208
2018-04-24,72.5508
2018-04-25,72.1508
2018-04-26,72.2408
2018-04-27,72.3308
2018-04-30,71.9808
2018-05-01,71.7814
2018-05-02,70.9114
2018-05-03,70.7914
2018-05-04,70.8814
2018-05-07,70.4314
2018-05-08,69.7914
2018-05-09,69.6014
2018-05-10,70.9614
2018-05-11,71.4214
2018-05-14,71.2314
2018-05-15,70.4814
2018-05-16,70.7114
2018-05-17,70.2814
2018-05-18,70.1614
2018-05-21,70.1814
2018-05-22,70.6014
2018-05-23,71.2714
2018-05-24,71.6014
2018-05-25,71.8714
2018-05-29,71.5714
2018-05-30,71.5414
2018-05-31,71.0914
2018-06-01,70.703
2018-06-04,70.663
2018-06-05,70.833
2018-06-06,70.593
2018-06-07,70.293
2018-06-08,70.393
2018-06-11,70.183
2018-06-12,69.733
2018-06-13,69.393
2018-06-14,69.263
2018-06-15,69.483
2018-06-18,68.913
2018-06-19,68.883
2018-06-20,69.113
2018-06-21,69.503
2018-06-22,70.103
2018-06-25,69.613
2018-06-26,69.463
2018-06-27,69.253
2018-06-28,69.463
2018-06-29,69.473
2018-07-02,69.4689
2018-07-03,69.8089
2018-07-05,70.4889
2018-07-06,71.4089
2018-07-09,71.7089
2018-07-10,71.8989
2018-07-11,71.4489
2018-07-12,71.6589
2018-07-13,72.2189
2018-07-16,71.9389
2018-07-17,71.9289
2018-07-18,71.8289
2018-07-19,71.8089
2018-07-20,71.7089
2018-07-23,71.5689
2018-07-24,71.4689
2018-07-25,72.4389
2018-07-26,72.5289
2018-07-27,72.7189
2018-07-30,72.4089
2018-07-31,72.2089
2018-08-01,71.75
2018-08-02,71.66
2018-08-03,71.9
2018-08-06,71.72
2018-08-07,71.56
2018-08-08,71.56
2018-08-09,71.18
2018-08-10,69.96
2018-08-13,69.49
2018-08-14,70.18
2018-08-15,69.96
2018-08-16,70.18
2018-08-17,70.61
2018-08-20,70.47
2018-08-21,70.77
2018-08-22,71.24
2018-08-23,70.71
2018-08-24,70.99
2018-08-27,71.13
2018-08-28,70.93
2018-08-29,70.61
2018-08-30,70.02
2018-08-31,69.69
2018-09-04,69.3656
2018-09-05,69.4356
2018-09-06,69.9056
2018-09-07,69.6256
2018-09-10,69.4256
2018-09-11,69.2256
2018-09-12,69.5656
2018-09-13,70.5956
2018-09-14,70.7156
2018-09-17,70.3856
2018-09-18,70.0556
2018-09-19,70.4356
2018-09-20,71.0356
2018-09-21,71.2656
2018-09-24,71.1556
2018-09-25,71.2356
2018-09-26,71.7256
2018-09-27,72.1056
2018-09-28,71.8356
2018-10-01,71.8352
2018-10-02,71.9452
2018-10-03,71.3852
2018-10-04,70.6352
2018-10-05,70.3152
2018-10-08,70.2852
2018-10-09,70.3252
2018-10-10,69.8852
2018-10-11,70.0452
2018-10-12,70.2852
2018-10-15,70.3052
2018-10-16,70.7052
2018-10-17,70.4552
2018-10-18,70.0552
2018-10-19,69.9352
2018-10-22,69.8252
2018-10-23,69.8552
2018-10-24,69.4452
2018-10-25,69.7752
2018-10-26,69.9152
2018-10-29,69.4652
2018-10-30,69.5752
2018-10-31,69.1352
2018-11-01,69.6361
2018-11-02,69.5161
2018-11-05,69.7661
2018-11-06,69.6361
2018-11-07,69.8861
2018-11-08,69.4961
2018-11-09,69.5461
2018-11-12,69.1661
2018-11-13,69.0361
2018-11-14,69.2361
2018-11-15,68.8061
2018-11-16,68.9661
2018-11-19,68.5961
2018-11-20,67.7561
2018-11-21,68.2261
2018-11-23,67.8661
2018-11-26,68.0161
2018-11-27,67.2961
2018-11-28,68.5761
2018-11-29,68.3961
2018-11-30,68.6261
2018-12-03,69.3506
2018-12-04,69.0506
2018-12-06,69.3606
2018-12-07,69.4606
2018-12-10,69.4606
2018-12-11,69.5306
2018-12-12,69.7206
2018-12-13,70.0206
2018-12-14,70.0406
2018-12-17,70.1806
2018-12-18,70.2904
2018-12-19,70.1504
2018-12-20,69.9604
2018-12-21,69.6304
2018-12-24,69.5804
2018-12-26,69.7304
2018-12-27,70.1604
2018-12-28,70.2304
2018-12-31,70.5904
2019-01-02,70.5904
2019-01-03,71.0304
2019-01-04,71.8204
2019-01-07,72.2704
2019-01-08,72.1904
2019-01-09,72.3804
2019-01-10,72.1904
2019-01-11,72.2004
2019-01-14,72.0804
2019-01-15,72.4404
2019-01-16,72.5304
2019-01-17,72.8904
2019-01-18,73.4004
2019-01-22,73.4304
2019-01-23,73.9604
2019-01-24,74.4804
2019-01-25,74.3804
2019-01-28,73.8904
2019-01-29,73.9804
2019-01-30,74.7404
2019-01-31,75.5604
2019-02-01,75.7129
2019-02-04,75.3429
2019-02-05,76.0629
2019-02-06,75.5029
2019-02-07,75.3029
2019-02-08,74.8229
2019-02-11,74.5729
2019-02-12,74.9729
2019-02-13,74.9829
2019-02-14,75.2629
2019-02-15,75.3529
2019-02-19,75.2829
2019-02-20,75.2929
2019-02-21,75.2229
2019-02-22,75.8929
2019-02-25,75.7129
2019-02-26,76.0329
2019-02-27,76.0629
2019-02-28,75.9929
2019-03-01,75.6054
2019-03-04,75.5454
2019-03-05,75.5954
2019-03-06,75.5054
2019-03-07,75.2554
2019-03-08,75.5554
2019-03-11,75.9554
2019-03-12,76.2954
2019-03-13,76.3254
2019-03-14,76.1654
2019-03-15,76.6054
2019-03-18,76.7054
2019-03-19,76.7854
2019-03-20,77.7554
2019-03-21,77.7254
2019-03-22,76.9954
2019-03-25,77.6054
2019-03-26,77.7054
2019-03-27,77.2954
2019-03-28,77.5254
2019-03-29,77.6254
2019-04-01,77.8196
2019-04-02,77.8896
2019-04-03,77.6396
2019-04-04,77.6096
2019-04-05,78.0396
2019-04-08,77.5996
2019-04-09,77.6696
2019-04-10,77.8896
2019-04-11,77.4896
2019-04-12,77.4796
2019-04-15,77.5496
2019-04-16,77.3396
2019-04-17,77.4396
2019-04-18,77.5296
2019-04-22,77.4496
2019-04-23,77.7796
2019-04-24,77.4696
2019-04-25,77.6196
2019-04-26,77.5496
2019-04-29,77.6596
2019-04-30,77.8196
2019-05-01,77.7885
2019-05-02,77.6185
2019-05-03,78.2385
2019-05-06,78.2185
2019-05-07,77.6385
2019-05-08,77.7585
2019-05-09,77.4285
2019-05-10,77.7985
2019-05-13,76.9185
2019-05-14,77.2585
2019-05-15,77.6585
2019-05-16,77.6785
2019-05-17,77.4285
2019-05-20,77.9185
2019-05-21,78.0485
2019-05-22,77.9885
2019-05-23,77.8385
2019-05-24,77.9485
2019-05-28,78.0885
2019-05-29,78.0285
2019-05-30,78.3585
2019-05-31,78.3585
2019-06-03,78.3175
2019-06-04,78.9775
2019-06-05,79.3275
2019-06-06,79.7475
2019-06-07,80.4175
2019-06-10,80.2775
2019-06-11,80.1275
2019-06-12,80.0375
2019-06-13,80.2875
2019-06-14,80.1975
2019-06-17,80.2475
2019-06-18,81.3775
2019-06-19,82.3575
2019-06-20,82.8675
2019-06-21,81.7575
2019-06-24,81.9775
2019-06-25,81.3975
2019-06-26,81.5875
2019-06-27,82.0475
2019-06-28,82.2175
2019-07-01,82.7953
2019-07-02,82.9953
2019-07-03,83.3053
2019-07-05,82.7153
2019-07-08,82.5553
2019-07-09,82.2853
2019-07-10,82.4653
2019-07-11,82.1353
2019-07-12,82.3653
2019-07-15,82.5953
2019-07-16,82.5353
2019-07-17,82.6653
2019-07-18,82.8753
2019-07-19,82.7053
2019-07-22,83.1053
2019-07-23,83.4553
2019-07-24,83.7153
2019-07-25,83.5453
2019-07-26,83.4853
2019-07-29,83.4753
2019-07-30,83.2853
2019-07-31,83.0453
2019-08-01,83.5337
2019-08-02,83.4637
2019-08-05,82.3437
2019-08-06,83.1337
2019-08-07,83.7037
2019-08-08,84.2737
2019-08-09,84.2137
2019-08-12,83.0137
2019-08-13,82.8537
2019-08-14,82.7037
2019-08-15,83.1537
2019-08-16,83.8037
2019-08-19,83.3437
2019-08-20,83.3737
2019-08-21,83.7037
2019-08-22,83.7637
2019-08-23,83.8137
2019-08-26,83.7137
2019-08-27,84.0337
2019-08-28,84.1637
2019-08-29,84.4237
2019-08-30,84.8037
2019-09-03,85.0665
2019-09-04,85.7865
2019-09-05,85.1665
2019-09-06,85.5765
2019-09-09,84.6265
2019-09-10,83.7765
2019-09-11,83.8965
2019-09-12,84.1165
2019-09-13,82.8065
2019-09-16,83.2865
2019-09-17,83.6465
2019-09-18,83.6565
2019-09-19,84.1565
2019-09-20,84.6665
2019-09-23,84.4065
2019-09-24,83.6765
2019-09-25,83.3465
2019-09-26,83.5765
2019-09-27,83.4265
2019-09-30,83.5465
2019-10-01,83.0065
2019-10-02,82.9865
2019-10-03,83.5265
2019-10-04,84.5165
2019-10-07,83.8765
2019-10-08,83.7665
2019-10-09,83.7765
2019-10-10,83.5865
2019-10-11,83.5065
2019-10-14,83.5565
2019-10-15,83.7965
2019-10-16,83.6165
2019-10-17,83.7765
