date,adj_close
2008-02-26,21.1191
2008-02-27,21.0291
2008-02-28,20.6591
2008-02-29,19.7691
2008-03-03,19.0991
2008-03-04,18.5591
2008-03-05,18.9391
2008-03-06,18.1291
2008-03-07,17.6991
2008-03-10,17.1391
2008-03-11,19.3391
2008-03-12,18.3891
2008-03-13,17.8991
2008-03-14,17.2291
2008-03-17,16.3291
2008-03-18,17.5391
2008-03-19,16.1591
2008-03-20,16.5491
2008-03-24,17.5891
2008-03-25,18.3691
2008-03-26,17.9591
2008-03-27,17.7591
2008-03-28,18.0891
2008-03-31,17.7791
2008-04-01,18.7891
2008-04-02,18.2091
2008-04-03,18.2191
2008-04-04,17.6791
2008-04-07,18.1091
2008-04-08,17.7691
2008-04-09,17.7191
2008-04-10,18.0591
2008-04-11,17.6591
2008-04-14,17.5591
2008-04-15,18.6491
2008-04-16,19.2391
2008-04-17,19.0991
2008-04-18,19.6291
2008-04-21,19.6791
2008-04-22,19.3591
2008-04-23,19.6191
2008-04-24,19.7191
2008-04-25,20.0491
2008-04-28,19.7091
2008-04-29,19.9391
2008-04-30,20.0291
2008-05-01,20.3791
2008-05-02,20.4591
2008-05-05,20.1691
2008-05-06,20.0391
2008-05-07,18.9291
2008-05-08,18.7791
2008-05-09,18.4791
2008-05-12,18.4191
2008-05-13,18.1491
2008-05-14,18.2591
2008-05-15,18.9491
2008-05-16,18.7391
2008-05-19,18.8891
2008-05-20,18.3591
2008-05-21,17.9991
2008-05-22,18.0691
2008-05-23,17.6991
2008-05-27,17.5191
2008-05-28,17.7791
2008-05-29,17.8791
2008-05-30,18.1791
2008-06-02,17.1591
2008-06-03,16.9591
2008-06-04,16.4791
2008-06-05,17.0891
2008-06-06,15.9791
2008-06-09,15.7491
2008-06-10,15.4491
2008-06-11,15.1391
2008-06-12,16.0091
2008-06-13,16.2591
2008-06-16,15.9891
2008-06-17,16.2391
2008-06-18,15.8991
2008-06-19,15.8691
2008-06-20,14.7991
2008-06-23,14.3791
2008-06-24,13.8191
2008-06-25,14.4691
2008-06-26,13.7691
2008-06-27,13.4491
2008-06-30,13.1591
2008-07-01,12.7691
2008-07-02,12.8891
2008-07-03,12.8591
2008-07-07,13.0291
2008-07-08,13.6091
2008-07-09,13.3291
2008-07-10,13.7691
2008-07-11,13.0291
2008-07-14,12.9991
2008-07-15,12.6491
2008-07-16,13.2891
2008-07-17,13.8091
2008-07-18,13.8191
2008-07-21,13.9491
2008-07-22,14.9091
2008-07-23,15.7291
2008-07-24,14.6391
2008-07-25,14.9791
2008-07-28,14.4291
2008-07-29,14.7391
2008-07-30,14.8491
2008-07-31,14.4691
2008-08-01,15.1891
2008-08-04,15.1291
2008-08-05,16.2791
2008-08-06,16.1391
2008-08-07,15.5391
2008-08-08,16.2391
2008-08-11,16.3591
2008-08-12,15.5891
2008-08-13,15.5091
2008-08-14,15.4591
2008-08-15,15.3491
2008-08-18,14.4291
2008-08-19,14.3191
2008-08-20,14.6291
2008-08-21,14.2091
2008-08-22,14.6291
2008-08-25,13.8391
2008-08-26,14.1291
2008-08-27,14.2891
2008-08-28,14.1591
2008-08-29,14.0791
2008-09-02,14.4991
2008-09-03,14.5891
2008-09-04,13.7191
2008-09-05,14.1991
2008-09-08,14.1791
2008-09-09,13.3991
2008-09-10,13.6391
2008-09-11,13.3891
2008-09-12,13.0691
2008-09-15,11.6591
2008-09-16,11.9691
2008-09-17,10.8291
2008-09-18,11.9491
2008-09-19,13.1191
2008-09-22,12.3091
2008-09-23,11.9691
2008-09-24,11.9691
2008-09-25,12.3091
2008-09-26,11.6691
2008-09-29,9.8691
2008-09-30,10.9491
2008-10-01,10.9291
2008-10-02,10.2591
2008-10-03,9.8091
2008-10-06,8.6591
2008-10-07,8.2191
2008-10-08,8.2991
2008-10-09,7.5491
2008-10-10,7.4391
2008-10-13,8.8691
2008-10-14,8.1791
2008-10-15,6.6991
2008-10-16,7.3991
2008-10-17,6.7991
2008-10-20,7.1591
2008-10-21,6.8091
2008-10-22,5.8591
2008-10-23,5.8791
2008-10-24,4.8591
2008-10-27,4.4891
2008-10-28,5.7291
2008-10-29,5.5991
2008-10-30,6.5591
2008-10-31,6.3191
2008-11-03,6.8091
2008-11-04,7.6291
2008-11-05,6.4491
2008-11-06,5.8491
2008-11-07,6.6791
2008-11-10,6.9591
2008-11-11,6.1491
2008-11-12,5.3191
2008-11-13,6.0891
2008-11-14,5.4491
2008-11-17,5.3891
2008-11-18,5.2091
2008-11-19,4.3191
2008-11-20,3.7991
2008-11-21,5.0291
2008-11-24,5.4491
2008-11-25,4.9191
2008-11-26,5.2891
2008-11-28,5.1591
